Sr No,Name,Price,Brand,Model,Energy Efficiency,Capacity,Annual Energy Consumption,Noise Level,Installation Type,Special Features,Colour,Control Console,Voltage,Material,Included Components,Batteries Included,Batteries Required,Battery Cell Type,Manufacturer,Country of Origin,Link
35,"Blue Star 1.5 Ton 3 Star Split AC (Copper, 2018 Model, FS318AATU, White)","₹ 32,717.00","Blue Star","FS318AATU","3 Star Rating","1.5 Tons","1122.45 Kilowatt Hours","58 dB","Split System","Auto Restart with Memory:Ensure the AC remember the last set mode of the user, and automatically resume functioning with the same pre-set mode, making it more user friendly and convenient, during power cuts, 100% Copper :Blue Star air conditioners condenser coil,evaporator coil and connecting tubes are made of 100% copper, thereby ensuring reliable cooling performance, and longer durability, 2 Way Auto Swing:Ensure comfortable air flow across the room, Hidden Display:Ensure un-interrupted sleep during the night, without any light display on the AC, Self Clean Technology:Ensure clean air; Prohibits the accumulation of any moisture, dust or mold within the indoor unit, Comfort Sleep:Intelligently senses variation in indoor temperature and adjusts the same automatically, to keep you comfortable through the night, IFeel:Ensure the desired comfort around you, with our in-built sensor in the remote, Turbo Cool:Ensure faster more effective cooling in few minutes during summers, Anti Corrosive Gold Fins for Protection:Ensure AC do not form any water or dust deposits, delivering unhindered cooling performance and enhanced durability","White","Remote Control","230 Volts","Plastic","1N Outdoor Unit- W X H X D : 968 X 652.5 X 367 mm , Weight: 44 Kg|| 1N Indoor Unit- W X H X D: 965 X 319 X 215 mm , Weight: 12 kg|| 1N Remote|| 1N Manual|| 1N Installation Kit||1 Warranty Card","No","No","Alkaline","Blue Star Limited","India","https://amazon.in/Blue-Star-Split-Copper-FS318AATU/dp/B07YBBCT9P/ref=sr_1_1_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-1-spons&psc=1"
27,"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Split AC (Copper, Nanoe air purification technology, 2020 Model, CS/CU-XU18WKYF, White)","₹ 44,100.00","Panasonic","CS/CU-XU18WKYF","5 Star Rating","1.5 Tons","848.28 Kilowatt Hours",,"Split System","Inverter, Antibacterial_coating, Dust_filter, Wifi_control, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, 1 Remote Controller,User Manual, Warranty Card","Yes","Yes","Zinc Carbon","Panasonic","India","https://amazon.in/Panasonic-Inverter-CS-CU-XU18WKYF-Powered/dp/B0862QQMNB/ref=sr_1_2_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-2-spons&psc=1"
75,"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, AR18TY5QAWK, White)","₹ 39,990.00","Samsung","AR18TY5QAWK","5 Star Rating","1.5 Tons","4.5 Kilowatt Hours","35 dB","Split System","Inverter, Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor unit, 1 user manual and warranty card, Connecting Tube (3 m), Connecting Wire (3.5 m),Remote,Batteries (AAA)","Yes","Yes","Zinc Carbon","Samsung india Pvt Ltd",,"https://amazon.in/Samsung-Inverter-Split-Copper-AR18TY5QAWK/dp/B0852MYW6Y/ref=sr_1_3?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-3"
30,"Samsung 1.5 Ton 3 Star Inverter Split AC (Alloy AR18NV3HLTRStar Flower White)","₹ 46,600.00","Samsung","AR18NV3HLTR","3 Star","1.5 Tons",,"109 dB","Split System","Inverter","Star Flower White","Remote Control","240 Volts","Alloy","1 Indoor Unit 1 Outdoor Unit Inter Connecting Pipe 1 Remote 3 Manuals 1 Warranty Card",,"No","Alkaline","Samsung India Electronics Limited","India","https://amazon.in/Samsung-Inverter-Split-AR18NV3HLTR-Flower/dp/B078RPNJZ2/ref=sr_1_4?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-4"
10,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper AR18TV3HFTZ White Paradise Bloom)",,"Samsung","AR18TV3HFTZ","3 Star","1.5 Tons","3.61 Kilowatt Hours","43 dB","Split System","Inverter, Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit 1 Outdoor unit 1 user manual and warranty card Connecting Tube (3 m) Connecting Wire (3.5 m)RemoteBatteries (AAA)","Yes","Yes","Zinc Carbon","Samsung india Pvt Ltd",,"https://amazon.in/Samsung-Inverter-Copper-AR18TV3HFTZ-Paradise/dp/B084LGM4MS/ref=sr_1_5?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-5"
1,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, AR18TY3QCPU, White)","₹ 39,990.00","Samsung","AR18TY3QCPU","3 Star Rating","1.5 Tons","3.5 Kilowatt Hours",,"Split System","Inverter, Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor unit, 1 user manual and warranty card, Connecting Tube (3 m), Connecting Wire (3.5 m),Remote,Batteries (AAA)","Yes","Yes","Zinc Carbon","Samsung india Pvt Ltd",,"https://amazon.in/Samsung-Inverter-Split-Copper-AR18TY3QCPU/dp/B0862NQH6P/ref=sr_1_6?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-6"
12,"Samsung 1.5 Ton 3 Star (2017) Split AC (AR18MC3ULGM White)","₹ 35,331.00","Samsung","AR18MC3ULGMNNA","3 Star","1.5 Tons",,"42 dB","Split System","Antibacterial_coating","White","Remote Control",,,"1 main unit and warranty card",,,"Alkaline","Samsung","India","https://amazon.in/Samsung-Star-Split-AR18MC3ULGM-White/dp/B01MT81GPR/ref=sr_1_7?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-7"
18,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, AR18TY3QBBR, White)","₹ 33,900.00","Samsung","AR18TY3QBBR","3 Star Rating","1.5 Tons","3.5 Kilowatt Hours",,"Split System","Inverter, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor unit, 1 user manual and warranty card, Connecting Tube (3 m), Connecting Wire (3.5 m),Remote,Batteries (AAA)","Yes","Yes","Zinc Carbon","Samsung india Pvt Ltd",,"https://amazon.in/Samsung-Inverter-Split-Copper-AR18TY3QBBR/dp/B0862NKZJJ/ref=sr_1_8?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-8"
44,"Hitachi 1.5 Ton 5 Star Inverter Split AC (Copper RSOG518HDEA Gold)","₹ 39,890.00","Hitachi","RSOG518HDEA","5 Star","1.5 Tons","897.84 Kilowatt Hours","34 dB","Split System","Inverter, Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","Gold","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 1 Manuals, 1 Warranty Card","Yes","Yes","Zinc Carbon","JOHNSON CONTROLS-HITACHI AIRCONDITIONING INDIA LIMITED","India","https://amazon.in/Hitachi-Inverter-Split-Copper-RSOG518HDEA/dp/B084QSD48P/ref=sr_1_9?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-9"
59,"Sanyo 1.5 Ton 5 Star Dual Inverter Wide Split AC (Copper, 2020 Model, SI/SO-15T5SCIC White)","₹ 32,790.00","Sanyo","SI/SO-15T5SCIC","5 Star","1.5 Tons","840.75 Kilowatt Hours","43 dB","Split System","Inverter, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit 1 Outdoor Unit 2 Piping Assembly 1 Remote 2 AAA Batteries 1 Indoor to Outdoor Power Supply Cord 1 Indoor to Main Power Supply Cord 1 Assembly Manual 1 Warranty Card","Yes","Yes","Zinc Carbon","Panasonic","India","https://amazon.in/Sanyo-Inverter-Copper-SI-SO-15T5SCIC/dp/B084CLXCY2/ref=sr_1_10?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-10"
76,"Sanyo 1.5 Ton 3 Star Dual Inverter Split AC (Copper, PM 2.5 Filter, 2020 Model, SI/SO-15T3SCIC White)","₹ 27,990.00","Sanyo","SI/SO-15T3SCIC","3 Star","1.5 Tons","1050.21 Kilowatt Hours","43 dB","Split System","Inverter, Dust_filter, PM 2.5 Filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit 1 Outdoor Unit 2 Piping Assembly 1 Remote 2 AAA Batteries 1 Indoor to Outdoor Power Supply Cord 1 Indoor to Main Power Supply Cord 1 Assembly Manual 1 Warranty Card","Yes","Yes","Zinc Carbon","Panasonic","India","https://amazon.in/Sanyo-Inverter-Copper-SI-SO-15T3SCIC/dp/B084WCFN9P/ref=sr_1_11_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-11-spons&psc=1"
41,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, AR18TY3QBBU, White)","₹ 33,990.00","Samsung","AR18TY3QBBU","3 Star Rating","1.5 Tons","3.5 Kilowatt Hours","41 dB","Split System","Antibacterial_coating","White","Remote Control","230 Volts","Plastic","1 main unit and warranty card","Yes","Yes","Zinc Carbon","Samsung india Pvt Ltd",,"https://amazon.in/Samsung-Inverter-Split-Copper-AR18TY3QBBU/dp/B0852NDYSY/ref=sr_1_12?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-12"
47,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 0.1 Filter, 2018 Model, JTKJ50TV White)","₹ 46,990.00","Daikin","JTKJ50TV","5 Star Rating","1.5 Tons",,"28 dB","Split System","Inverter, Dust_filter, Patented streamer discharge technology and PM 0.1 Filter, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 3 Manuals, 1 Warranty Card","Yes","No","Zinc","Daikin Airconditioning India Pvt. Ltd.","India","https://amazon.in/Daikin-Inverter-Split-Copper-JTKJ50TV/dp/B07HFFRC3V/ref=sr_1_13?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-13"
49,"Hitachi 1.5 Ton 3 Star Split AC ZUNOH 3100f - R32 (Copper RSM318HDDO white)","₹ 31,860.00","Hitachi","RSM318HDDO","3 Star","1.5 Tons","1157 Kilowatt Hours","43 dB","Split System","Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 1 Manuals, 1 Warranty Card","Yes","Yes","Zinc Carbon","JOHNSON CONTROLS-HITACHI AIRCONDITIONING INDIA LIMITED","India","https://amazon.in/Hitachi-Star-Split-ZUNOH-3100f/dp/B08518FPX9/ref=sr_1_14?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611393857&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-14"
